GMAT,GPA,UNIVERSITY,MAJOR,JOBTITLE,GENDER,RACE,AGE,INTERNATIONAL,ODDS
,3.1,Tier 3,,,MALE,Asian,4,,Harvard: 10% Stanford: 5% Cornell (one year): 40% Yale: 20% Chicago: 20% Northwestern: 20% Columbia (accelerated program): 40%
740,3.8,Tier 3,Business,,,,,,Harvard: 20% to 30% Stanford: 10% Wharton: 30% to 45% Northwestern:  40% Chicago: 40+%
750,3.95,Tier 3,Economics,,MALE,Asian,25,,Harvard: 25% to 30% Stanford: 20% Wharton: 30% to 45+% Northwestern:  40% to 50% Chicago: 40% to 50% Dartmouth: 40+% Columbia: 40+%
620,3.53,Tier 1,,,MALE,Black,25,,Harvard: 40% to 45% Stanford: 20% to 30% Wharton: 40+% Dartmouth: 40% to 50% Columbia: 40% to 50% Berkeley: 30% to 50% Yale: 50+%
760,7.1,Tier 3,Engineering,,MALE,Asian,7.37,,Northwestern: 40% to 50% Dartmouth: 40% to 50% Berkeley: 30% to 50% Yale: 40% to 50% Duke: 40% to 50%
760,3.76,Tier 3,International Studies,,MALE,Asian,23,,Northwestern: 40% to 50% Harvard: 35% Stanford: 20% Berkeley: 50% Chicago: 40% to 50% MIT: 50+%
700,3.9,Tier 3,,,,Asian,2009,,"Sandy’s Analysis: Phew, what we got here is a great beginning, a happy ending and a so-so middle.  To wit"
740,3.5,Tier 3,Engineering,,Female,Asian,8,,Harvard: 20% Stanford: 10% MIT: 30% to 40% Northwestern: 40% to 50% Berkeley: 30% to 40% Virginia: 40% to 50%
,3.5,Tier 3,Economics,,Female,Asian,1.5,,Northwestern: 30% to 45+% Chicago: 30% to 40+% Yale: 30% to 40+% Duke: 30% to 50% Virginia: 30% to 50% UCLA: 30% to 40% Emory: 40% to 50% UNC: 40% to 50% Georgetown: 40% to 50% Vanderbilt: 50+%
730,3.0,Tier 3,Engineering,,,Asian,5,,Stanford: 30% to 50+% Berkeley: 50+% Northwestern: 50+% UCLA: 50+% Michigan: 50+%
760,3.9,Tier 3,Engineering,,MALE,Asian,25,,Harvard: 45+% Stanford: 35% Wharton: 50+% MIT: 50+%
700,3.7,Tier 1,,,,Asian,18,,Harvard: 10% to 15% Stanford: 10% Columbia: 30% to 45% Wharton: 30% INSEAD:  35%
740,3.4,Tier 3,Engineering,,MALE,Asian,27,,Harvard: 30% to 40+% (Him); 20% to 30% (Her) MIT: 40% (Him); 30% (Her) Wharton: 40+% Dartmouth: 40+% Northwestern: 40+% Chicago: 40+%
770,3.6,Tier 3,Economics,,MALE,Asian,10,,Harvard: 10% to 20% Wharton: 30% to 50% Berkeley: 50+% Duke: 50% UCLA: 50%
715,3.81,Tier 3,Economics,,,Asian,30,,Harvard: 50% Stanford: 35% to 45% Chicago: 50% to 60% Dartmouth: 50% to 60% Wharton: 40% to 60% Columbia: 60+% Virginia: 60+%
700,3.6,Tier 3,Economics,,,Asian,5,,Harvard: 30% to 35% Stanford: 15% to 25% Wharton: 30% to 45% Northwestern: 40+%
760,3.6,Tier 3,,,,Asian,30,,Harvard: 20% to 30+% Stanford: 10% to 15% Wharton: 30% to 35% Columbia: 40%+ Chicago: 50%+ Kellogg: 60+%
700,3.7,Tier 3,Business,,MALE,Asian,25,,Harvard: 15% Wharton: 20% Stanford: 10% Chicago: 30% Kellogg: 40% INSEAD: 50+% London: 50+%
770,3.2,Tier 3,,,MALE,Asian,28,,Harvard: 15% to 25% Stanford: 10% to 20% Wharton: 20% to 35+% Columbia: 40+% MIT: 30% to 40+% Kellogg: 30+% Chicago: 30+% Berkeley: 40+% Michigan: 40+% Tuck: 20% Yale: 30% INSEAD: 50% London: 50%
680,3.3,Tier 3,Business,,MALE,Asian,25,,Harvard: 20+% Stanford: 10% Dartmouth: 30-40% MIT: 30% Duke: 50% Chicago: 50% Berkeley: 50%
720,10,Tier 3,Economics,,MALE,Asian,25,,Harvard: 30% to 40% Stanford: 25+% Wharton: 40% to 50+% Kellogg: 50+% Columbia: 50+%
760,3.1,Tier 3,Engineering,,Female,Asian,24,,Yale: 60+% Stanford: 20-30% Berkeley: 50% Wharton: 40+%
750,3.3,Tier 3,Economics,,MALE,Asian,25,,Harvard: 20% Wharton: 30-35+% Northwestern: 50+% London: 70+% Michigan: 60+% New York: 40%
700,3.3,Tier 3,Engineering,,Female,Asian,50,,Stanford: 10% to 20% Harvard: 20-30% MIT: 30% Berkeley: 20-40% Northwestern: 30-40% UCLA: 30-50% USC: 40-50%
740,3.63,Tier 3,Economics,,MALE,Asian,25,,Harvard: 20% Wharton: 30-50% Columbia: 40-50% Chicago: 40-50% Yale: 40-50%
740,3.6,Tier 1,,,,Asian,2,,Dartmouth: 40-50% Northwestern: 40-50% MIT: 30+% Columbia: 40-50% Berkeley: 50% Wharton: 30-45% New York: 40% to 50%
700,3.64,Tier 3,Economics,,MALE,Asian,75,,UCLA: 50+% Berkeley: 50+% Chicago: 40% to 50+% Northwestern: 40+% New York: 30% to 40% USC: 60+% Harvard: 20% to 40% Stanford: 10% to 20% Wharton: 30% to 50%
750,3.75,Tier 1,Economics,,,,,,Harvard: 40% to 50% Stanford: 30% to 40+% Wharton: 50+% Chicago: 60+% Northwestern: 60+% MIT: 50+% Berkeley: 50+% Yale: 60+%
740,3.7,Tier 3,Business,,Female,Asian,2,,Harvard 2+2: 60+% Stanford 2+2: 50% Wharton: 50% Dartmouth: 50% Northwestern: 50% Yale: 60+%
710,3.17,Tier 3,,,MALE,Asian,50,,Harvard: 10% to 20% Chicago: 30% to 40% Northwestern: 30% to 40% Wharton: 30%
760,8.5,Tier 3,,,MALE,Asian,25,,Dartmouth: 20% to 30% MIT: 40% to 50% Berkeley: 50+% Chicago: 40% to 45% Northwestern: 40% to 50% Columbia: 30% to 45% Yale: 40% INSEAD: 50+% London: 50+%
710,3.47,Tier 3,Economics,,,Asian,2,,Stanford: 10% to 20% Wharton: 30% to 40% Northwestern: 50+% Chicago: 50+% Berkeley: 50+% Harvard: 30% to 40% MIT: 35% to 50%
760,2.76,Tier 1,Economics,,MALE,Asian,27,,Columbia: 30% to 40% (if early decision) Chicago: 30% to 40% Duke: 40+% Michigan: 40+% Cornell: 50+% Virginia: 40+%
720,3.3,Tier 3,Engineering,,Female,Asian,5,,Stanford: 20% Berkeley: 40+% Harvard: 30% to 40% MIT: 40%
710,3.8,Tier 3,Business,,,Asian,2013,,Northwestern: 30% Dartmouth: 20% Duke: 30+% Cornell: 40+% Carnegie Mellon: 50%
750,3.8,Tier 3,Engineering,,MALE,Asian,23,,Stanford: 20% to 25% Berkeley: 50+% UCLA: 50+% Columbia: 30% to 50% MIT: 40+%
730,3.1,Tier 3,Business,,,Asian,4,,Wharton: 30% to 35% Columbia: 30% to 40% (if Early Decision) Yale: 30% INSEAD: 50% to 60% London: 50% to 60%
700,3.4,Tier 3,,,,Asian,29,,UCLA: 30% to 35% Cornell: 40% to 50% Texas: 40% to 50% Carnegie: 30% to 40% Emory: 30% to 45% USC: 40% to 50%
730,2.80,Tier 3,,,,,,,Harvard: 5% Stanford: 5% Wharton: 10% MIT: 10% Northwestern: 15% Chicago: 15% Berkeley: 10% Columbia: 15%
760,3.57,Tier 1,Engineering,,,,,,Harvard: 20% to 30% Stanford: 15% to 30% Wharton: 30% to 40% Chicago: 40% to 50% MIT: 40% to 50% Dartmouth: 40% to 50%
700,3.75,Tier 3,,,MALE,Asian,28,,Stanford: 20% Wharton: 30% to 45% Chicago: 30% to 50% Duke: 40% to 50% Berkeley: 40%
710,3.7,Tier 3,Business,,MALE,Asian,27,,Stanford: 20% to 30% Harvard: 30% to 40% Wharton: 50+%
710,3.6,Tier 3,Engineering,,MALE,Black,24,,Harvard: 40% to 50% Stanford: 30% to 35% Wharton: 50+% Northwestern: 50+% Berkeley: 50+% MIT: 50+% UCLA: 50+%
700,7.8,Tier 3,,,Female,Asian,26,,Harvard: 20% to 35% Stanford: 10% to 20% Northwestern: 35% to 50% Wharton: 30% to 45% Dartmouth: 20% to 30% Duke: 50+%
740,3.4,Tier 3,Engineering,,MALE,Asian,26,,Harvard: 30+% Stanford: 20% Wharton: 50+% Chicago: 50+% Northwestern: 50+% MIT: 50+%
790,4.0,Tier 3,,,MALE,Asian,26,,Harvard: 40% to 50+% Stanford: 30% to 40% Wharton: 50+% Yale: 50+% Northwestern: 50+%
740,3.66,Tier 3,,,MALE,Asian,5,,Stanford: 10% to 20% Chicago: 40% to 50+% Northwestern: 40% to 50+% Dartmouth: 40% to 50% Michigan: 50+% Virginia: 50+%
690,3.85,Tier 3,,,MALE,Asian,29,,Stanford: 20% to 30% Harvard: 35% to 45+% UCLA: 50+% Berkeley: 50+% Duke: 50+%
700,3.45,Tier 3,Economics,,MALE,Asian,1.2,,Northwestern: 30% to 50% Chicago: 30% to 50% Harvard: 10% to 20% Wharton: 20% to 30% Columbia: 30% to 50% (if early decision) Berkeley: 40%
780,3.40,Tier 3,Engineering,,MALE,Asian,27,,Harvard: 20% to 40% Stanford: 20% Wharton (Lauder Program): 40% to 50% Chicago: 50+% MIT: 50+% Northwestern: 50+%
760,3.74,Tier 3,Engineering,,,Asian,3,,Harvard: 20% MIT: 30% to 50%
690,2.96,Tier 3,Economics,,,Asian,3.6,,Harvard: 20% to 30% Stanford: 10% to 15% Wharton: 35% to 40% Northwestern: 35% to 45% Virginia: 50+% Duke: 50+%
730,3.47,Tier 1,,,,Asian,3,,Harvard: 30% Stanford: 25% Wharton: 35% Kellogg: 40% to 45+% Columbia: 35+% Tuck: 40% to 45+%
710,3.71,Tier 3,Business,,,Asian,100,,Harvard: 40+% Stanford: 35+% Wharton: 45+% Chicago: 50+% Kellogg: 50+% Carnegie Mellon: 60+% Michigan: 60+% Columbia: 50+% New York: 60+%
730,3.05,Tier 3,Engineering,,MALE,Asian,27,,Chicago: 20% to 40% Kellogg: 20% to 40% Michigan: 30% to 50% Dartmouth: 20% to 30% Berkeley: 30% to 50% MIT: 10% to 20% Carnegie Mellon: 30% to 50% INSEAD: 40% to 50%
700,3.9,Tier 3,,,Female,Asian,30,,Harvard: 25% to 35% Stanford: 10% to 30% Wharton: 30% to 40% Northwestern: 40% to 50% Columbia: 30% to 40% Dartmouth: 30% to 40% Yale: 40% to 50%
710,3.0,Tier 3,Economics,,Female,Asian,26,,Harvard: 15% Stanford: 10% Columbia: 20% New York University: 30%
700,3.33,Tier 3,,,,Asian,1,,Harvard: 20% to 30% Stanford: 20% Wharton: 30% to 40% MIT: 20% Yale: 30% to 40% Chicago: 30% to 40% Texas: 40+%
720,3.8,Tier 3,International Studies,,Female,Asian,2008,,Stanford: 30% to 40% Harvard: 30% to 50% Berkeley: 50+% Yale: 50+%
760,3.5,Tier 3,,,MALE,Asian,25,,Berkeley: 60+% Stanford: 30% UCLA: 60+% MIT: 60+% Harvard: 40+%
730,3.24,Tier 3,,,MALE,Asian,26,,Michigan: 40% New York University: 30% to 40% Columbia: 20% UCLA: 40% Georgetown: 50+% Northwestern: 30% to 40% Cornell: 40% to 50% Southern California: 60+%
700,3.0,Tier 3,Economics,,MALE,Asian,2.0,,Harvard 2+2: -10% INSEAD: 20% Wharton: 10% Yale: 10% to 20%
670,3.4,Tier 3,Engineering,,MALE,Asian,500,,Duke: 60+% North Carolina: 60+% Virginia: 60+%
740,4.0,Tier 3,,,,Asian,5,,Harvard: 20% 25% Northwestern: 35% to 45% Wharton: 30% to 40% Chicago: 35% to 45% Columbia: 40+%
690,3.3,Tier 3,,,Female,Asian,24,,(if  you follow my advice)
740,3.10,Tier 3,Economics,,MALE,Asian,26,,Wharton: 20% to 25% Dartmouth: 30% to 35% Berkeley: 40% Chicago: 25% to 35+% Columbia: 20% to 30% Northwestern: 30% to 40% New York: 40% to 50% MIT: 20%
750,10,Tier 3,,,Female,Asian,4,,Harvard: 20% Stanford: 10% Wharton: 30% to 40% Chicago: 30% to 40% INSEAD: 50% to 70% London: 50% to 70%
700,3.67,Tier 3,Economics,,Female,Asian,27,,Harvard: 20% Stanford: 20% Wharton: 30% to 40% Berkeley: 40% Yale: 50% Columbia: 50% Chicago: 50% Dartmouth: 50% UCLA: 50%
710,3.69,Tier 1,,,Female,Asian,25,,Harvard: 30% to 40% Stanford: 20% to 30% Northwestern: 50+% New York: 60+% Columbia: 50+% Wharton: 40% MIT: 40% to 50%
690,3.3,Tier 3,Economics,,MALE,Asian,28,,Chicago: 30% to 50% Northwestern: 30% to 50% Michigan: 50%+ New York: 30% Columbia: 30%
700,3.95,Tier 3,,,,Asian,2008,,Wharton: 30%+ Harvard: 20% to 30% Virginia: 50% to 60% Chicago: 40% to 50% Northwestern: 40% to 50% Georgetown: 70%+ Maryland: 80%+
700,2.9,Tier 3,Business,,Female,Asian,25,,Berkeley: 20% to 30% UT-Austin: 30% to 40% Georgetown: 30% to 40% New York: 20% to 30% Columbia: 10% to 20%
750,3.43,Tier 3,Engineering,,Female,Asian,25,,Harvard: 50%+ MIT: 60%+ Stanford: 30% to 40% Berkeley: 60%+ Columbia: 60%+ Northwestern: 70%+ Chicago: 70%+
730,3.12,Tier 1,Economics,,MALE,Asian,26,,Harvard: 15% Wharton: 20% Northwestern: 30% to 40% Chicago: 20% to 30% MIT: 20% Columbia: 20% to 30% Stanford: 5% Berkeley: 30% to 40%
,3.3,Tier 3,Engineering,,,Asian,24,,Harvard: 10% to 20% Stanford: 10% Oxford: 40%+ Columbia: 30% to 35% Yale: 30% to 40% INSEAD: 40% to 50% Northwestern: 40% to 50%
730,3.55,Tier 3,,,MALE,Asian,24,,Harvard: 30% to 45% Stanford: 20% to 30% Wharton: 40% to 50% Northwestern: 50%+ MIT: 40%+ Berkeley: 50%+ UCLA: 60%+
730,3.17,Tier 3,Engineering,,MALE,Black,25,,Harvard: 25% to 35% Wharton: 30% to 45% MIT: 40% to 50% Northwestern: 40% to 50% Dartmouth: 40% to 50% Virginia: 50% to 60% Michigan: 60% to 70%
740,3.55,Tier 1,,,MALE,Asian,400,,Harvard: 30% to 40% Stanford: 20% to 30% Wharton: 40+% Chicago: 50% Columbia: 50% MIT: 40% to 50%
,3.7,Tier 1,,,Female,Asian,29,,Stanford: 20% to 30% Chicago: 50%+ Northwestern: 50%+ Michigan: 60%+
750,3.45,Tier 3,Economics,,MALE,Asian,25,,Harvard: 30% to 40% Stanford: 20% to 30% Columbia: 50% London: 60%+ Wharton: 40% to 40% Berkeley: 50%+ Chicago: 50%
800,3.67,Tier 3,,,MALE,Asian,4,,Yale: 20% Berkeley: 40% Northwestern: 30% to 40% Dartmouth: 20% Texas: 50% Georgetown: 50%
770,3.9,Tier 3,Engineering,,MALE,Asian,50,,Harvard: 40% to 50% Stanford: 25% to 35% Wharton: 50%+ Chicago: 50%+
740,3.5,Tier 3,Engineering,,MALE,Asian,27,,Harvard: 30% Stanford: 20% Virginia: 50% Wharton: 40%
700,3.75,Tier 3,Economics,,Female,Asian,25,,MIT: 40% to 50% London: 50+% UCLA: 50+% Northwestern: 50+% New York: 50+% Columbia: 40% to 50% Duke: 50+%
700,3.9,Tier 3,Economics,,,Asian,4,,Northwestern: 40% Michigan: 40+% Virginia: 50+% Duke: 50+% Dartmouth: 40% [all assuming an evenly-split 700+ GMAT]
720,3.5,Tier 1,,,Female,Asian,24,,"Stanford: 30% to 40% Northwestern: 50%+ Columbia: 50%+ New York U. : 50%+ (full-time), 95%+ (part-time)"
720,3.6,Tier 3,Engineering,,MALE,Asian,18,,Stanford: 10% Berkeley: 30% to 40% Harvard: 20% to 35%
700,3.7,Tier 3,Engineering,,MALE,Asian,26,,Duke: 50% Virginia: 50% MIT: 30% to 40% Northwestern: 40% UNC: 50%+ Georgetown: 50%+
730,3.65,Tier 3,Engineering,,,Asian,1,,Harvard: 40% to 50% MIT: 50%+ Columbia: 50%+ New York: 50%+ Yale: 50%+
700,3.47,Tier 3,Economics,,MALE,Asian,24,,Harvard: 10% Wharton: 15% Chicago: 30% Columbia: 30% New York: 40% Northwestern: 30% to 40% Dartmouth: 30% Yale: 20% to 30% Duke: 40%+ Virginia: 40%+
700,3.33,Tier 3,Business,,MALE,Asian,29,,Harvard: 30% Stanford: 20% to 30% Wharton: 30% Chicago: 30% to 40% Columbia: 30% to 40% Dartmouth: 30% to 40%
720,3.65,Tier 3,Business,,MALE,Asian,27,,Northwestern: 40% to 50% Berkeley: 30% MIT: 30% Dartmouth: 40% to 50% UCLA: 50%+ Duke: 50%+ Michigan: 50%+ Virginia: 50%+ University of Washington: 60%+
710,3.7,Tier 3,,,MALE,Asian,25,,Harvard: 20% Stanford: 10% Wharton: 30% to 35% Dartmouth: 40% to 50% Virginia: 50%+
650,3.5,Tier 3,,,Female,Asian,90,,(with 700+ GMAT) Yale: 30% Northwestern: 40%+ INSEAD: 50%+ Duke: 40%+ Brigham Young: 50%+
780,3.5,Tier 3,Economics,,MALE,Asian,2,,Wharton: 50%+ Columbia: 50%+ Harvard: 30% Stanford: 10% to 20%
650,3.5,Tier 3,Business,,MALE,Asian,28,,Harvard: 15% to 20% Stanford: 10% Berkeley: 20% Dartmouth: 20% INSEAD: 40% to 50%
